Vorname;Nachname;Geburtsdatum;Geschlecht;Telefon-Nr.;Bundesland;Stadt;Postleitzahl;Straße;Hausnummer;Adresszusatz
Borka;Zunker;13.12.1936;w;;Nordrhein-Westfalen;Krefeld;47798;Ottostraße;177;
Herwig;Kitzmann;25.09.1911;d;06349/92317458;Rheinland-Pfalz;Billigheim-Ingenheim;76831;Schmittenstraße;102;
Babett;Schirmacher;14.05.1914;w;02636/84440897;Rheinland-Pfalz;Schalkenbach;53426;Staudig;157;
Aloysia;Aretz;07.10.1964;w;08124/49196434;Bayern;Hohenbrunn;85662;Achter Straße;111;
Theodolinde;Neuberger;27.06.1930;d;;Niedersachsen;Glandorf;49219;Hunselweg;113;
Susette;Crawford;10.10.1944;w;;Mecklenburg-Vorpommern;Lindenberg;17111;Hallesche Straße;104;
Ralph;Woltering;31.12.2008;m;;Bayern;Aschheim;85609;An der Beek;112;
Rothmund;Magnus;10.08.1985;m;08389/98757648;Bayern;Weißensberg;88138;Brönenberg;99;
Alfred;Alber;28.03.1937;m;;Rheinland-Pfalz;Theisbergstegen;66871;Kiebitzpohl;25;
Tell;Jehle;07.07.1960;d;04893/25549512;Schleswig-Holstein;Ottenbüttel;25591;Richard-Strauß-Straße;143;161
Friedmut;Haid;28.07.1959;m;04122/35016042;Schleswig-Holstein;Moorrege;25436;Taeglichsbeckstraße;160;
Laurin;Röper;21.06.1938;m;;Rheinland-Pfalz;Kasel;54317;Herzog-Wilhelm-Straße;78;
Dietlind;Landmann;08.08.1966;w;07153/7268992;Baden-Württemberg;Deizisau;73779;Bachgasse;17;
Gertraude;Welle;25.06.1949;w;08257/53403117;Bayern;Hollenbach;86568;Im Büchel;56;
Annelotte;Künnemann;10.10.1973;w;06391/22484727;Rheinland-Pfalz;Hirschthal;66996;Im Schloß-Steinchen;183;
Ulfried;Wessels;25.08.2019;m;09453/69574435;Bayern;Hagelstadt;93095;Weihergasse;32;
Anselm;Häusler;27.09.1916;m;06544/56308996;Rheinland-Pfalz;Schauren;55758;Broicher Straße;58;
